abv,avail,avg_score,beer_name_og,brewery_og,category_og,city_og,ibu,num_of_ratings,state_og,style,style_og
5.80,Year-round,3.41,422 Pale Wheat Ale,Southern Tier Brewing Co,Other Style,Lakewood,-1,647,New York,American Pale Wheat Ale,Light American Wheat Ale or Lager
-1,Rotating,4.03,Schlafly ESB,Saint Louis Brewery / Schlafy Tap Room,,Saint Louis,-1,4,Missouri,English Extra Special / Strong Bitter (ESB),
-1,Limited (brewed once),0,Mile Marker Amber Lager,Route 66 Brewery,North American Lager,Saint Louis,-1,0,Missouri,American Amber / Red Lager,American-Style Lager
4.90,Rotating,3.12,Red Lager,Jacob Leinenkugel Brewing Company,North American Lager,Chippewa Falls,-1,880,Wisconsin,Vienna Lager,American-Style Lager
5.00,Year-round,3.64,Grail Ale,Middle Ages Brewing,North American Ale,Syracuse,-1,192,New York,American Amber / Red Ale,American-Style Amber/Red Ale
4.50,Year-round,3.41,Bandit Brown,Northwoods Brewpub Grill,North American Ale,Eau Claire,-1,11,Wisconsin,English Brown Ale,American-Style Brown Ale
-1,Rotating,2.94,Cherokee Red Ale,Calhoun's Microbrewery,North American Ale,Knoxville,-1,3,Tennessee,Irish Red Ale,American-Style Amber/Red Ale
5.00,Year-round,3.99,Bombardier Brown,Rocky River Brewing,North American Ale,Rocky River,-1,2,Ohio,English Brown Ale,American-Style Brown Ale
-1,Rotating,4.03,Chazz Cat Rye,Mountain Sun Pub & Brewery,North American Lager,Boulder,-1,3,Colorado,Rye Beer,American-Style Lager
6.00,Year-round,4.09,Oktoberfest,Delafield Brewhaus,German Lager,Delafield,-1,4,Wisconsin,German Märzen / Oktoberfest,German-Style Oktoberfest
-1,Year-round,0,Stump Sitter Stout,Hereford & Hops Restaurant and Brewpub #1,North American Ale,Escanaba,-1,0,Michigan,American Stout,American-Style Stout
6.00,Year-round,3.74,Imperial Stout,Yakima Brewing and Malting / Grant's Ales,North American Ale,Yakima,-1,84,Washington,Russian Imperial Stout,American-Style Stout
-1,Year-round,2.12,Light,Legends Brewhouse & Eatery of Green Bay,,Green Bay,-1,2,Wisconsin,American Light Lager,
8.50,Year-round,3.38,Full Moon Belgian White Ale,Mudshark Brewing,Belgian and French Ale,Lake Havasu City,-1,87,Arizona,Belgian Witbier,Belgian-Style White
5.80,Winter,3.72,Samuel Adams Holiday Porter,Boston Beer Company,Irish Ale,Boston,-1,2514,Massachusetts,American Porter,Porter
4.00,Year-round,3.84,Celtic Stout,Fitzpatrick's Brewing,North American Ale,Iowa City,-1,2,Iowa,Irish Dry Stout,American-Style Stout
5.30,Year-round,3.74,Pleasanton Pale,Pleasanton Main Street Brewery,North American Ale,Pleasanton,-1,5,California,American Pale Ale (APA),American-Style Pale Ale
6.20,Year-round,3.57,XX Black Angus Stout,Little Apple Brewing,North American Ale,Manhattan,32,19,Kansas,American Stout,American-Style Stout
5.00,Year-round,3.05,Wildcat Wheat,Little Apple Brewing,North American Lager,Manhattan,13,15,Kansas,American Pale Wheat Ale,American-Style Lager
7.00,Rotating,0,Bavarian Bock,Aksarben Brewing (BOP),German Lager,Omaha,-1,0,Nebraska,German Bock,Traditional German-Style Bock
-1,Rotating,4.02,Old Rip Oatmeal Stout,Big Time Brewing,North American Ale,Seattle,-1,22,Washington,English Oatmeal Stout,American-Style Stout
-1,Year-round,3.48,Luna Weizen,Elliott Bay Brewery and Pub,North American Lager,Seattle,-1,12,Washington,German Hefeweizen,American-Style Lager
8.50,Year-round,3.64,Bottleworks IPA,Dick's Brewing,North American Ale,Centralia,-1,26,Washington,American Imperial IPA,American-Style India Pale Ale
-1,Fall,3.15,Oktoberfest,Jobber's Canyon Restaurant & Brewery,German Lager,Omaha,-1,1,Nebraska,German Märzen / Oktoberfest,German-Style Oktoberfest
5.25,Spring,3.84,X Extra Pale Ale,AleSmith Brewing,North American Ale,San Diego,-1,8,California,American Pale Ale (APA),American-Style Pale Ale
4.20,Year-round,3.21,Golden Treasure,Crabby Larry's Brewpub Steak & Crab House,North American Ale,Chalfont,-1,4,Pennsylvania,American Amber / Red Ale,Golden or Blonde Ale
6.30,Winter,3.4,Winter Cheer,Spanish Peaks Brewing,North American Ale,Polson,-1,45,Montana,American Amber / Red Ale,American-Style Brown Ale
5.75,Year-round,3.66,Cardinal Pale Ale,Nebraska Brewing Company,North American Ale,Papillion,42,351,Nebraska,American Pale Ale (APA),American-Style Pale Ale
6.20,Winter,3.8,Red Sled Winter Ale,Nebraska Brewing Company,,Papillion,-1,2,Nebraska,Winter Warmer,
6.10,Year-round,3.78,Geist Bock,Golden Valley Brewery and Pub,German Lager,McMinnville,-1,13,Oregon,German Bock,Traditional German-Style Bock
6.70,Year-round,3.98,Farm House Ale,Jack Russell Brewing,,Camino,-1,22,California,Belgian Saison,
5.50,Year-round,3.66,Pole Star Pilsner,Left Hand Brewing Company,,Longmont,-1,1193,Colorado,German Pilsner,
9.00,Rotating,3.96,Grand Cru,Upstream Brewing Old Market,,Omaha,-1,28,Nebraska,American Wild Ale,
4.50,Year-round,3.24,Summer Bright Ale,Breckenridge Brewery,,Denver,-1,636,Colorado,American Pale Wheat Ale,
5.00,Year-round,3.63,Hot Shot ESB,Great Divide Brewing,British Ale,Denver,-1,169,Colorado,English Extra Special / Strong Bitter (ESB),Extra Special Bitter
9.00,Limited (brewed once),4.24,Double Dog Double Pale Ale,Flying Dog Brewery,North American Ale,Denver,-1,70,Colorado,American Imperial IPA,Imperial or Double India Pale Ale
5.00,Year-round,3.53,Celtic Rose,Lancaster Brewing Co.,Irish Ale,Lancaster,-1,73,Pennsylvania,Irish Red Ale,Irish-Style Red Ale
4.90,Rotating,0,Caulfield's Rye,Four Peaks Brewing,Other Style,Tempe,-1,0,Arizona,Rye Beer,American Rye Ale or Lager
5.40,Rotating,3.22,Samuel Adams Hefeweizen,Boston Beer Company,German Ale,Boston,14,785,Massachusetts,German Hefeweizen,South German-Style Hefeweizen
8.00,Spring,3.84,Meltdown Double IPA,Midnight Sun Brewing Co.,North American Ale,Anchorage,80,161,Alaska,American Imperial IPA,Imperial or Double India Pale Ale
5.20,Fall,3.86,Pumpkin Ale,Allentown Brew Works,Other Style,Allentown,-1,22,Pennsylvania,Pumpkin Beer,Pumpkin Beer
4.90,Rotating,3.36,Billtown Blonde,Bullfrog Brewery,,Williamsport,-1,29,Pennsylvania,German Kölsch,
9.00,Rotating,3.85,Theobroma,Dogfish Head Craft Brewery,,Milton,8,2217,Delaware,Chile Beer,
4.80,Year-round,3.39,Swallow Wit,Middle Ages Brewing,Belgian and French Ale,Syracuse,-1,169,New York,Belgian Witbier,Belgian-Style White
5.50,Year-round,3.15,Hook & Ladder Golden Ale,Hook & Ladder Brewing Company,Other Style,Silver Spring,-1,154,Maryland,American Blonde Ale,Light American Wheat Ale or Lager
7.00,Limited (brewed once),3.64,Envy,Midnight Sun Brewing Co.,,Anchorage,63,27,Alaska,American Imperial Pilsner,
6.50,Winter,3.68,Cabin Fever,New Holland Brewing Company,North American Ale,Holland,-1,1010,Michigan,American Brown Ale,American-Style Brown Ale
5.60,Winter,3.17,Pete's Wicked Wanderlust Cream Ale,Pete's Brewing,Other Style,San Antonio,-1,138,Texas,American Cream Ale,American-Style Cream Ale or Lager
-1,Year-round,3.52,Canary Wheat,Sioux Falls Brewing,German Ale,Sioux Falls,-1,2,South Dakota,American Pale Wheat Ale,South German-Style Hefeweizen
6.13,Year-round,3.55,Black Hawk Stout,Court Avenue Brewing,North American Ale,Des Moines,-1,30,Iowa,English Oatmeal Stout,American-Style Stout
7.00,Year-round,3.64,Raging River Ale,Front Street Brewery,,Davenport,-1,27,Iowa,English India Pale Ale (IPA),
-1,Year-round,3.11,Old Davenport Gold,Front Street Brewery,North American Ale,Davenport,-1,10,Iowa,American Blonde Ale,American-Style Pale Ale
8.00,Rotating,0,Chubby Brown,Three Floyds Brewing,North American Ale,Munster,-1,0,Indiana,American Brown Ale,American-Style Brown Ale
-1,Year-round,3.06,Dark Satin,Taylor Brewing,German Lager,Lombard,-1,5,Illinois,Munich Dunkel Lager,German-Style Schwarzbier
5.10,Year-round,3.22,Zig Zag Lager,Portland Brewing,,Portland,-1,32,Oregon,American Adjunct Lager,
-1,Rotating,3.16,Nut Brown Ale,Wild River Brewing and Pizza - Cave Junction,North American Ale,Cave Junction,-1,8,Oregon,German Altbier,American-Style Brown Ale
-1,Rotating,1.38,Wheat,Murphy's Wagon Wheel,North American Lager,Hastings,-1,1,Nebraska,American Pale Wheat Ale,American-Style Lager
5.00,Year-round,3.65,Moss Bay Extra,Hale's Ales #3,,Seattle,-1,21,Washington,American Pale Ale (APA),
-1,Year-round,3.63,Pale Ale,Humboldt Brewing,North American Ale,Arcata,-1,27,California,American Pale Ale (APA),American-Style Pale Ale
5.00,Year-round,3.75,Cross of Gold,Revolution Brewing LLC,North American Ale,Chicago,25,385,Illinois,English Pale Ale,Golden or Blonde Ale
5.20,Winter,3.21,Wicked Winter Brew,Pete's Brewing,Other Style,San Antonio,-1,69,Texas,Fruit and Field Beer,Fruit Beer
5.60,Limited (brewed once),3.32,Yuletide Porter,Mendocino Brewing - Hopland,Irish Ale,Hopland,-1,3,California,American Porter,Porter
4.00,Year-round,3.65,Best Bitter Ale,Jack Russell Brewing,,Camino,-1,6,California,English Bitter,
6.10,Year-round,3.39,Blue Heron Pale Ale,Mendocino Brewing - Hopland,North American Ale,Hopland,-1,521,California,American Pale Ale (APA),American-Style Pale Ale
5.50,Year-round,3.09,Michelob Pale Ale,Anheuser-Busch,North American Ale,Saint Louis,-1,297,Missouri,English Pale Ale,American-Style Pale Ale
5.00,Year-round,3.57,Scape Goat Pale Ale,Big Sky Brewing,North American Ale,Missoula,-1,441,Montana,English Pale Ale,American-Style Pale Ale
12.80,Limited (brewed once),3.93,Broad Street Barleywine,Appalachian Brewing Company,North American Ale,Harrisburg,-1,4,Pennsylvania,American Barleywine,American-Style Barley Wine Ale
7.20,Winter,3.79,Volks Weizenbock,Appalachian Brewing Company,German Ale,Harrisburg,-1,58,Pennsylvania,German Weizenbock,South German-Style Weizenbock
5.80,Rotating,3.5,Lucky Kat,Magic Hat,North American Ale,South Burlington,60,521,Vermont,American IPA,American-Style India Pale Ale
6.40,Rotating,3.13,Oktoberfest,Goose Island Beer Company - Clybourn,German Lager,Chicago,-1,2,Illinois,German Märzen / Oktoberfest,German-Style Oktoberfest
3.00,Limited (brewed once),3.63,PMD Mild Ale,Goose Island Beer Company - Clybourn,British Ale,Chicago,-1,14,Illinois,English Dark Mild Ale,English-Style Pale Mild Ale
6.50,Rotating,3.95,Old Fort Howard Pale Ale,Titletown Brewing,North American Ale,Green Bay,-1,6,Wisconsin,American Pale Ale (APA),American-Style Pale Ale
6.40,Year-round,3.53,India Pale Ale,Summit Brewing,North American Ale,Saint Paul,-1,511,Minnesota,English India Pale Ale (IPA),American-Style India Pale Ale
5.20,Summer,0,Colonel Kolsch,Titletown Brewing,,Green Bay,-1,0,Wisconsin,German Kölsch,
5.60,Year-round,3.83,Export,Rothaus Brauerei,,Hartford,-1,21,Wisconsin,German Märzen / Oktoberfest,
-1,Year-round,3.71,Valhalla Ale,Denmark Brewing,North American Lager,Denmark,-1,2,Wisconsin,American Pale Ale (APA),American-Style Lager
-1,Year-round,0,Amber Ale,Jarre Creek Ranch Brewing,North American Ale,Castle Rock,-1,0,Colorado,American Amber / Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.75,Jasper Brown Ale,Jasper Ridge Brewery,North American Ale,Ishpeming,-1,6,Michigan,English Brown Ale,American-Style Brown Ale
6.00,Year-round,3.94,Point Reyes Porter,Marin Brewing,Irish Ale,Larkspur Landing,-1,99,California,American Porter,Porter
5.10,Winter,3.26,1888 Bock,Jacob Leinenkugel Brewing Company,German Lager,Chippewa Falls,-1,490,Wisconsin,German Bock,Traditional German-Style Bock
-1,Rotating,3.09,Amber Rye Lager,Oconomowoc Brewing,North American Lager,Oconomowoc,-1,3,Wisconsin,Rye Beer,American-Style Lager
5.30,Year-round,3.15,Samuel Adams Coastal Wheat,Boston Beer Company,German Ale,Boston,-1,1174,Massachusetts,American Pale Wheat Ale,South German-Style Hefeweizen
7.00,Year-round,3.65,Traditional Brackett,White Winter Winery,,Iron River,-1,7,Wisconsin,Braggot,
5.00,Year-round,3.86,Sheepshead Stout,Milwaukee Ale House,North American Ale,Milwaukee,-1,32,Wisconsin,English Oatmeal Stout,American-Style Stout
-1,Spring,2.7,Drop Anchor Steam,Great Dane Pub and Brewing #1,,Madison,-1,3,Wisconsin,California Common / Steam Beer,
5.50,Year-round,3.72,Old Glory American Pale Ale,Great Dane Pub and Brewing #1,North American Ale,Madison,-1,79,Wisconsin,American Pale Ale (APA),American-Style Pale Ale
5.20,Year-round,3.82,EOS Hefeweizen,Nebraska Brewing Company,German Ale,Papillion,13,293,Nebraska,German Hefeweizen,South German-Style Hefeweizen
6.90,Year-round,3.79,India Pale Ale,Nebraska Brewing Company,North American Ale,Papillion,72,643,Nebraska,American IPA,American-Style Pale Ale
6.00,Year-round,3.75,Woody Organic IPA,Roots Organic Brewing,North American Ale,Portland,-1,29,Oregon,American IPA,American-Style India Pale Ale
6.50,Year-round,3.74,India Pale Ale,Pike Pub and Brewery,North American Ale,Seattle,-1,455,Washington,American IPA,American-Style Pale Ale
5.00,Year-round,3.6,Highwater Porter,Skagit River Brewing,Irish Ale,Mount Vernon,-1,17,Washington,American Porter,Porter
6.50,Year-round,3.76,Indica India Pale Ale,Lost Coast Brewery,North American Ale,Eureka,-1,1273,California,American IPA,American-Style Pale Ale
12.70,Rotating,4.1,Nokdechiloff,Manayunk Brewery and Restaurant,North American Ale,Philadelphia,-1,2,Pennsylvania,American Barleywine,American-Style Barley Wine Ale
-1,Year-round,3.37,Regiment Pale Ale,Valley Forge Brewing,North American Ale,Wayne,-1,5,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
5.10,Rotating,3.7,Phoenix Pale Ale,Sly Fox Brewhouse and Eatery - Royersford,North American Ale,Royersford,-1,525,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
11.60,Rotating,4.07,Armageddon Grand Cru,Dragonmead Microbrewery,Belgian and French Ale,Warren,-1,49,Michigan,Belgian Quadrupel (Quad),Other Belgian-Style Ales
9.00,Rotating,3.77,Bagpiper's Scottish Ale,Pennichuck Brewing Company,British Ale,Milford,-1,28,New Hampshire,Scotch Ale / Wee Heavy,Scotch Ale
7.80,Limited (brewed once),4.14,Ugly American,East End Brewing Company,Belgian and French Ale,Pittsburgh,-1,35,Pennsylvania,Belgian Tripel,Belgian-Style Tripel
4.00,Year-round,3.01,Bumppo's Brown Ale,Cooper's Cave Ale Company,North American Ale,Glens Falls,-1,3,New York,English Brown Ale,American-Style Brown Ale
5.50,Fall,3.63,Oktoberfest,Brooklyn Brewery,North American Lager,Brooklyn,-1,1779,New York,German Märzen / Oktoberfest,American-Style Lager
6.40,Limited (brewed once),3.54,Bravo,Weyerbacher Brewing Company,Other Style,Easton,-1,21,Pennsylvania,American Pale Wheat Ale,Light American Wheat Ale or Lager
7.50,Rotating,3.75,Double Rainbow IPA,Elk Creek Cafe and Aleworks,British Ale,Millheim,-1,58,Pennsylvania,English India Pale Ale (IPA),English-Style India Pale Ale
-1,Year-round,3.61,Baron Schwarzbier,Baron Brewing Company,German Lager,Seattle,-1,19,Washington,German Schwarzbier,German-Style Schwarzbier
11.10,Year-round,3.91,Old Brown Dog Ale,Smuttynose Brewing Co.,North American Ale,Portsmouth,20,908,New Hampshire,English Old Ale,American-Style Brown Ale
7.70,Limited (brewed once),3.82,Claymore Scotch Ale,Great Divide Brewing,British Ale,Denver,-1,11,Colorado,Scotch Ale / Wee Heavy,Scotch Ale
3.90,Rotating,3.54,Long Island Potato Stout,The Blind Bat Brewery LLC,North American Ale,Centerport,-1,14,New York,Irish Dry Stout,American-Style Stout
-1,Year-round,3.08,Stinger Wild Honey Wheat,Estes Park Brewery,Other Style,Estes Park,-1,62,Colorado,American Pale Wheat Ale,Light American Wheat Ale or Lager
-1,Year-round,3.26,Estes Park Porter,Estes Park Brewery,Irish Ale,Estes Park,-1,54,Colorado,American Porter,Porter
-1,Year-round,3.38,Trail Ridge Red,Estes Park Brewery,North American Ale,Estes Park,-1,13,Colorado,American Amber / Red Ale,American-Style Amber/Red Ale
5.30,Year-round,4.34,Live Oak Hefeweizen,Live Oak Brewing,German Ale,Austin,-1,1730,Texas,German Hefeweizen,South German-Style Hefeweizen
9.00,Year-round,4.09,Gemini Imperial Blended Ale,Southern Tier Brewing Co,North American Ale,Lakewood,-1,1057,New York,American Strong Ale,Imperial or Double India Pale Ale
-1,Year-round,3.34,Fauerbach Amber Lager,Fauerbach Brewing Company,,Madison,-1,12,Wisconsin,Vienna Lager,
8.00,Limited (brewed once),4.06,Cousin Jax,The Livery,North American Ale,Benton Harbor,-1,3,Michigan,American Imperial IPA,Imperial or Double India Pale Ale
5.00,Year-round,3.37,Back Road American Pale Ale,Back Road Brewery,North American Ale,LaPorte,-1,21,Indiana,American Pale Ale (APA),American-Style Pale Ale
5.50,Rotating,4.08,Drunk Monk Hefeweizen,Three Floyds Brewing,German Ale,Munster,-1,375,Indiana,German Hefeweizen,South German-Style Hefeweizen
5.30,Year-round,3.32,Old Faithful Ale,Grand Teton Brewing #2,North American Ale,Victor,18,120,Idaho,American Blonde Ale,American-Style Pale Ale
6.20,Year-round,2.61,Tailgate Amber Wave,Tailgate Beer,North American Ale,San Diego,-1,5,California,American Amber / Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.64,Potbelly Porter,Copper Kettle Brewery,Irish Ale,Millmont,-1,2,Pennsylvania,American Porter,Porter
5.50,Rotating,3.41,Paris-Roubaix Pale Ale,The Livery,North American Ale,Benton Harbor,-1,8,Michigan,American Pale Ale (APA),American-Style Pale Ale
5.70,Rotating,3.44,Hoppy Chick,The Livery,British Ale,Benton Harbor,-1,4,Michigan,English India Pale Ale (IPA),English-Style India Pale Ale
6.00,Rotating,3.61,Herb Superb,The Livery,British Ale,Benton Harbor,-1,2,Michigan,American Black Ale,English-Style India Pale Ale
4.80,Year-round,4.05,Sierra Nevada Kellerweis,Sierra Nevada Brewing Co.,German Ale,Chico,-1,4134,California,German Hefeweizen,South German-Style Hefeweizen
7.20,Rotating,3.54,Maple City Gold,Back Road Brewery,German Lager,LaPorte,-1,10,Indiana,German Märzen / Oktoberfest,German-Style Oktoberfest
8.30,Limited (brewed once),3.95,Descent Imperial Abbey Ale,Midnight Sun Brewing Co.,Belgian and French Ale,Anchorage,25,23,Alaska,Belgian Strong Dark Ale,Other Belgian-Style Ales
4.90,Summer,4.5,Standing Stone Hefeweizen,Standing Stone Brewing Company,German Ale,Ashland,-1,1,Oregon,German Hefeweizen,South German-Style Hefeweizen
5.00,Year-round,3.6,Olde Buzzard Lager,Buzzards Bay Brewing Inc.,North American Lager,Westport,-1,65,Massachusetts,European Export / Dortmunder,American-Style Lager
9.00,Rotating,3.63,Big Dick's Olde Ale,Arcadia Brewing,British Ale,Battle Creek,-1,281,Michigan,English Old Ale,Old Ale
6.00,Year-round,3.67,Big Shot Espresso Stout,Twisted Pine Brewing Company,,Boulder,-1,260,Colorado,American Stout,
-1,Year-round,3.53,Liquid Amber,Prescott Brewing Company,North American Ale,Prescott,-1,54,Arizona,American Amber / Red Ale,American-Style Amber/Red Ale
6.00,Fall,3.59,Wild Goose Pumpkin Patch,"Wild Goose Brewery, LLC",Other Style,Fredrick,-1,54,Maryland,Pumpkin Beer,Pumpkin Beer
6.20,Limited (brewed once),3.92,Cosmic Black Witbier,Midnight Sun Brewing Co.,Belgian and French Ale,Anchorage,17,13,Alaska,Belgian Witbier,Belgian-Style White
12.00,Winter,4.07,Nor' Easter,Captain Lawrence Brewing Company,Belgian and French Ale,Pleasantville,-1,321,New York,Belgian Strong Dark Ale,Belgian-Style Dark Strong Ale
7.00,Winter,3.92,Fore Smoked Stout,Dark Horse Brewing Co.,North American Ale,Marshall,-1,1126,Michigan,Smoke Beer,American-Style Stout
5.20,Year-round,3.41,Rio Blanco Pale Ale,Real Ale Brewing Company,North American Ale,Blanco,-1,524,Texas,American Pale Ale (APA),American-Style Pale Ale
5.50,Year-round,3.61,Colonel Blide's Cask Ale,Cricket Hill,British Ale,Fairfield,31,98,New Jersey,English Bitter,Ordinary Bitter
-1,Year-round,3.7,Rapidan Brown,Bandana Brewery,North American Ale,Mankato,-1,1,Minnesota,English Brown Ale,American-Style Brown Ale
7.20,Winter,4.08,Grand Cru,Allagash Brewing,,Portland,-1,651,Maine,Belgian Strong Dark Ale,
6.00,Limited (brewed once),2.5,Peak One Porter,Backcountry Brewery,Irish Ale,Frisco,-1,1,Colorado,American Porter,Porter
6.00,Year-round,0,Fat Cat,Cheshire Cat Brewery,,Arvada,-1,0,Colorado,English Strong Ale,
8.00,Year-round,4.02,Old Eight Porter,Barley John's Brewpub,North American Ale,New Brighton,-1,100,Minnesota,Baltic Porter,American-Style Stout
9.90,Limited (brewed once),4.02,Benchmark Old Ale,Portland Brewing,British Ale,Portland,-1,35,Oregon,English Old Ale,Old Ale
5.50,Year-round,2.44,Bubba,Northwoods Brewpub Grill,,Eau Claire,-1,15,Wisconsin,American Pale Ale (APA),
7.50,Spring,3.78,Blonde Bock,Moosejaw Pizza & Dells Brewing Company,German Lager,Wisconsin Dells,-1,13,Wisconsin,German Maibock,Traditional German-Style Bock
4.70,Year-round,3.94,Oompa Loompa Chocolate Stout,Rocky River Brewing,,Rocky River,-1,17,Ohio,American Stout,
-1,Year-round,0,Old Skeezer Barley Wine,Pearl Street Brewery,,La Crosse,-1,0,Wisconsin,American Barleywine,
-1,Rotating,3.34,Manifesto Pale Ale,Fifty Fifty Brewing Co.,North American Ale,Truckee,-1,33,California,American Pale Ale (APA),American-Style Pale Ale
9.20,Rotating,4.06,Racer 5 IPA,Bear Republic Brewery,North American Ale,Healdsburg,-1,10,California,American IPA,American-Style India Pale Ale
6.00,Year-round,3.78,Oatmeal Stout,Seabright Brewery,North American Ale,Santa Cruz,-1,20,California,English Oatmeal Stout,American-Style Stout
5.50,Year-round,2.65,Shining Star Pale Ale,Iron Springs Pub & Brewery,North American Ale,Fairfax,-1,4,California,American Pale Ale (APA),American-Style Pale Ale
4.20,Rotating,3.96,Pale Ale,Roost Brewery,North American Ale,Campbell,-1,2,California,English Pale Ale,American-Style Pale Ale
5.70,Rotating,3.48,Best Bitter,Faultline Brewing #1,,Sunnyvale,-1,13,California,English Bitter,
4.30,Year-round,3.47,Old Seattle Lager,Maritime Pacific Brewing,North American Lager,Seattle,-1,50,Washington,German Helles,American-Style Lager
5.30,Summer,3.83,Hefe-Weizen,Diamond Knot Brewery & Alehouse,German Ale,Mukilteo,-1,9,Washington,German Hefeweizen,South German-Style Hefeweizen
4.30,Limited (brewed once),3.27,Kolsch,Independence Brew Pub,,Philadelphia,-1,13,Pennsylvania,German Kölsch,
7.00,Year-round,3.4,Newbold IPA,Philadelphia Brewing Co,North American Ale,Philadelphia,-1,250,Pennsylvania,American IPA,American-Style India Pale Ale
6.90,Year-round,3.77,The Raj India Pale Ale,Four Peaks Brewing,North American Ale,Tempe,-1,4,Arizona,English India Pale Ale (IPA),American-Style India Pale Ale
6.00,Rotating,4.11,Smoked Porter,Bullfrog Brewery,Irish Ale,Williamsport,-1,8,Pennsylvania,Smoke Porter,Porter
5.50,Year-round,3.71,Honey Cream Ale,Rogue Ales,Other Style,Newport,-1,159,Oregon,American Cream Ale,American-Style Cream Ale or Lager
4.20,Year-round,3.29,Purple Haze,Abita Brewing Company,Other Style,Abita Springs,-1,3430,Louisiana,Fruit and Field Beer,Light American Wheat Ale or Lager
4.70,Rotating,3.67,Cumberland Pale Ale,Barrel House Brewing Co.,North American Ale,Cincinnati,-1,62,Ohio,American Pale Ale (APA),American-Style Pale Ale
-1,Spring,3.45,White Sail,Otter Creek Brewing & Wolaver's Organic Ales,Belgian and French Ale,Middlebury,-1,93,Vermont,Belgian Witbier,Belgian-Style White
5.00,Year-round,3.71,Hefeweizen,Yazoo Brewing,German Ale,Nashville,13,467,Tennessee,German Hefeweizen,South German-Style Hefeweizen
5.10,Year-round,3.6,Hummer,Sweetwater Brewing - Atlanta,Belgian and French Ale,Atlanta,-1,103,Georgia,Belgian Witbier,Belgian-Style White
4.50,Fall,2.86,Wheat Beer,Broad Ripple Brewing,North American Lager,Indianapolis,-1,6,Indiana,Belgian Witbier,American-Style Lager
-1,Year-round,3.31,Rust Belt Porter,Barley Island Brewing,Irish Ale,Noblesville,-1,5,Indiana,American Porter,Porter
5.10,Rotating,3.83,Barrel Select Pils,Great Lakes Brewing,,Cleveland,-1,16,Ohio,German Pilsner,
4.60,Rotating,2.92,Kolsch,Mishawaka Brewing,,Mishawaka,-1,9,Indiana,German Kölsch,
5.80,Year-round,4.3,Five Springs Oatmeal Stout,Mickey Finn's Brewery,North American Ale,Libertyville,-1,1,Illinois,English Oatmeal Stout,American-Style Stout
-1,Year-round,3.78,Continental Pilsner,Denmark Brewing,,Denmark,-1,1,Wisconsin,European Pale Lager,
-1,Year-round,3.07,Pacific Pale,Santa Barbara Brewing,North American Ale,Santa Barbara,-1,15,California,American Pale Ale (APA),American-Style Pale Ale
5.50,Year-round,3.65,Stonehenge Stout,Bull & Bush Pub & Brewery,North American Ale,Denver,-1,32,Colorado,English Stout,American-Style Stout
5.60,Year-round,3.68,Ad Astra Ale,Free State Brewing,North American Ale,Lawrence,24,287,Kansas,German Altbier,American-Style Brown Ale
3.30,Year-round,3.13,Small Beer,Anchor Brewing,British Ale,San Francisco,-1,451,California,English Bitter,English-Style Pale Mild Ale
-1,Year-round,3.74,Plank Road Pale Ale,Marquette Harbor Brewery and Restaurant,North American Ale,Marquette,-1,8,Michigan,American Pale Ale (APA),American-Style Pale Ale
11.00,Limited (brewed once),3.68,Symposium Eisbock,New Glarus Brewing Company,German Lager,New Glarus,-1,2,Wisconsin,German Eisbock,Traditional German-Style Bock
5.00,Rotating,3.77,Beer,Mambo Beer,,Mequon,-1,4,Wisconsin,German Schwarzbier,
-1,Year-round,0,Raspberry,Shipwrecked Brew Pub,Other Style,Egg Harbor,-1,0,Wisconsin,Fruit and Field Beer,Light American Wheat Ale or Lager
8.00,Rotating,4.13,Abbey 8,McKenzie Brew House,,Glen Mills,-1,16,Pennsylvania,Belgian Strong Dark Ale,
4.50,Year-round,3.57,Lodestone Lager,Iron Hill Brewery - Wilmingon,,Wilmington,-1,20,Delaware,American Lager,
4.30,Rotating,0,Pioneer Peak Porter,Great Bear Brewing,Irish Ale,Wasilla,-1,0,Alaska,American Porter,Porter
8.50,Rotating,3.42,Solidarity,New Albanian Brewing,North American Ale,New Albany,-1,48,Indiana,Baltic Porter,American-Style Stout
6.00,Year-round,3.38,Thunderhead Amber Ale,Sequoia Brewing Conoabt,North American Ale,Fresno,-1,1,California,American Amber / Red Ale,American-Style Amber/Red Ale
5.20,Year-round,3.65,Oatmeal Stout,Blue Point Brewing,British Ale,Patchogue,-1,215,New York,English Oatmeal Stout,Oatmeal Stout
-1,Rotating,4.13,Billings IPA,Montana Brewing,North American Ale,Billings,-1,5,Montana,American IPA,American-Style India Pale Ale
3.50,Year-round,3.55,Little Barley Bitter,Barley John's Brewpub,,New Brighton,-1,37,Minnesota,English Bitter,
6.10,Year-round,3.56,Dundee Porter,Golden Valley Brewery and Pub,Irish Ale,McMinnville,-1,30,Oregon,American Porter,Porter
7.00,Year-round,3.63,Lava Rock Porter,Dick's Brewing,Irish Ale,Centralia,-1,59,Washington,American Porter,Porter
5.80,Year-round,3.62,Fire Rock Pale Ale,Kona Brewing,North American Ale,Kailua-Kona,35,2457,Hawaii,American Pale Ale (APA),American-Style Pale Ale
